"Localidade","IBGE","nota_2015","meta_2015"
"Alta Floresta d'Oeste",1100015,5.8,5.1
"Ariquemes",1100023,5.2,5.1
"Cabixi",1100031,5.5,5.1
"Cacoal",1100049,5.9,5.3
"Cerejeiras",1100056,5.9,5.4
"Colorado do Oeste",1100064,6.3,5.5
"Corumbiara",1100072,5.2,4.9
"Costa Marques",1100080,4.9,4.5
"Espigão d'Oeste",1100098,6,5.3
"Guajará-Mirim",1100106,4.9,4.6
"Jaru",1100114,5.6,4.7
"Ji-Paraná",1100122,6,5.2
"Machadinho d'Oeste",1100130,5.2,4.3
"Nova Brasilândia d'Oeste",1100148,6.6,5
"Ouro Preto do Oeste",1100155,5.7,4.9
"Pimenta Bueno",1100189,5.9,5.3
"Porto Velho",1100205,4.9,5
"Presidente Médici",1100254,6,5.1
"Rio Crespo",1100262,4.9,4.6
"Rolim de Moura",1100288,5.6,5.3
"Santa Luzia d'Oeste",1100296,6.1,5.1
"Vilhena",1100304,5.6,5.3
"São Miguel do Guaporé",1100320,5,5.1
"Nova Mamoré",1100338,4.8,4.6
"Alvorada d'Oeste",1100346,5.6,5.3
"Alto Alegre dos Parecis",1100379,5.8,4.9
"Alto Paraíso",1100403,4.9,4.6
"Buritis",1100452,5.5,4.7
"Novo Horizonte do Oeste",1100502,5.8,4.7
"Cacaulândia",1100601,5.7,4.6
"Campo Novo de Rondônia",1100700,4.6,4.5
"Candeias do Jamari",1100809,4.2,4.5
"Castanheiras",1100908,0,5
"Chupinguaia",1100924,5.1,5.1
"Cujubim",1100940,4.5,4.3
"Governador Jorge Teixeira",1101005,5.6,4.3
"Itapuã do Oeste",1101104,4.2,4.5
"Ministro Andreazza",1101203,6.3,4.8
"Mirante da Serra",1101302,5.6,4.7
"Monte Negro",1101401,4.8,5
"Nova União",1101435,5.4,4.4
"Parecis",1101450,4.8,4.8
"Pimenteiras do Oeste",1101468,5.8,4.7
"Primavera de Rondônia",1101476,5.2,5.2
"São Felipe d'Oeste",1101484,5.2,5.3
"São Francisco do Guaporé",1101492,5.3,4.2
"Seringueiras",1101500,5.2,5.1
"Teixeirópolis",1101559,6.1,4.7
"Theobroma",1101609,6,4.8
"Urupá",1101708,5.6,5.2
"Vale do Anari",1101757,5.1,4.6
"Vale do Paraíso",1101807,4.9,4.9
"Acrelândia",1200013,5,4.2
"Assis Brasil",1200054,4.2,4
"Brasiléia",1200104,5.8,4.6
"Bujari",1200138,4.1,4
